
   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    39224    0.120    0.000    0.120    0.000 :0(HasField)
    13570    0.120    0.000    0.944    0.000 ops.py:4123(name_scope)
    54433    0.120    0.000    0.120    0.000 dtypes.py:124(as_datatype_enum)
    30752    0.116    0.000    0.116    0.000 :0(max)
    23463    0.116    0.000    0.388    0.000 fromnumeric.py:2154(amax)
    31991    0.112    0.000    0.112    0.000 :0(CopyFrom)
    16549    0.112    0.000    0.112    0.000 :0(sorted)
    24013    0.104    0.000    0.108    0.000 callbacks.py:70(on_step_end)
     5060    0.104    0.000    0.204    0.000 ops.py:2013(_add_op)
    15180    0.100    0.000    0.100    0.000 :0(ByteSize)
    22670    0.100    0.000    0.344    0.000 _methods.py:28(_amin)
    45046    0.100    0.000    0.100    0.000 training.py:137(_standardize_sample_or_class_weights)
    24013    0.096    0.000    0.104    0.000 callbacks.py:79(on_action_begin)
    22523    0.096    0.000    0.096    0.000 :0(log)
     3042    0.092    0.000    0.136    0.000 ops.py:1504(get_attr)
    22523    0.092    0.000    8.396    0.000 training.py:991(_make_train_function)
    20132    0.092    0.000    0.236    0.000 dtypes.py:254(__eq__)
    33947    0.084    0.000    0.124    0.000 dtypes.py:95(base_dtype)
    22523    0.080    0.000    0.140    0.000 training.py:190(_standardize_sample_weights)
    22523    0.076    0.000    0.116    0.000 training.py:184(_standardize_class_weights)
    10420    0.072    0.000    0.180    0.000 registry.py:78(lookup)
     6860    0.068    0.000    0.112    0.000 ops.py:441(_as_node_def_input)
    11845    0.068    0.000    0.068    0.000 :0(match)
33009/33000    0.064    0.000    0.072    0.000 :0(issubclass)
     5335    0.064    0.000    0.164    0.000 ops.py:273(__init__)
       10    0.064    0.006    0.180    0.018 ops.py:2114(_as_graph_def)
    13570    0.064    0.000    0.164    0.000 ops.py:2754(name_scope)
    25111    0.060    0.000    0.060    0.000 :0(replace)
     1234    0.056    0.000    1.604    0.001 constant_op.py:54(constant)
     9345    0.056    0.000    0.124    0.000 op_def_library.py:53(_SatisfiesTypeConstraint)
    24013    0.056    0.000    0.056    0.000 callbacks.py:61(on_step_begin)
     6746    0.052    0.000    0.512    0.000 tensor_shape.py:536(merge_with)
     5794    0.052    0.000    0.060    0.000 ops.py:2865(unique_name)
    45324    0.052    0.000    0.052    0.000 common.py:46(floatx)
